SI No,District code,District name,Mandal code,Mandal Name,Village Name,School Id,School Name,Area,School Category,School Managments,School Type,Lower Class,Higer Class,Medium1,Medium2,Medium3,Medium4
4039,2820,KADAPA,282049,RAYACHOTY,RAYACHOTY,28204991604,MADANI HS TRUNK ROAD,Urban,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,English,None,None,None
4040,2820,KADAPA,282049,RAYACHOTY,RAYACHOTY,28204991606,GOWTHAM HIGH SCHOOL KR NAGAR,Urban,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,English,None,None,None
4041,2820,KADAPA,282049,RAYACHOTY,RAYACHOTY,28204991608,MPPS KOTHA PETA,Urban,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4042,2820,KADAPA,282049,RAYACHOTY,RAYACHOTY,28204991609,DIVYA THEJA HIGH SCHOOL,Urban,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,English,None,None,None
4043,2820,KADAPA,282049,RAYACHOTY,RAYACHOTY,28204991611,VIDYA BHARATHI HS RAVI,Urban,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,Telugu,None,None,None
4044,2820,KADAPA,282049,RAYACHOTY,RAYACHOTY,28204991612,SAI CONCEPT PS RAYACHOTY,Urban,Primary,Pvt.Unaided,Co-education,1,5,English,None,None,None
4045,2820,KADAPA,282049,RAYACHOTY,RAYACHOTY,28204991613,SAI CONCEPT HS RAYACHOTY,Urban,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,English,None,None,None
4046,2820,KADAPA,282049,RAYACHOTY,RAYACHOTY,28204991614,SACRED HEART PS RTY,Urban,Primary,Pvt.Unaided,Co-education,1,5,English,None,None,None
4047,2820,KADAPA,282050,GALIVEEDU,THUMUKUNTA,28205000606,MPPS PANDIKUNTA,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4048,2820,KADAPA,282050,GALIVEEDU,PYARAMPALLE,28205001002,MPPS P.KOTHAPALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4049,2820,KADAPA,282050,GALIVEEDU,PYARAMPALLE,28205001003,MPPS KOTHA VADDE PALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4050,2820,KADAPA,282050,GALIVEEDU,PYARAMPALLE,28205001005,MPUPS GOPANAPALLI,Rural,Primary with Upper Primary,MPP_ZPP SCHOOLS,Co-education,1,7,Telugu,None,None,None
4051,2820,KADAPA,282051,S.V.KASINAYAN,VENGALAMPALLE,28205100201,MPPS VARIKUNTLA HW,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4052,2820,KADAPA,282049,RAYACHOTY,RAYACHOTY,28204991615,SREE BHARATHEEYA VIDYA BHAVAN HS,Urban,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,English,None,None,None
4053,2820,KADAPA,282049,RAYACHOTY,RAYACHOTY,28204991616,BHARATI VIDYAMANDIR PS,Urban,Primary,Pvt.Unaided,Co-education,1,5,English,None,None,None
4054,2820,KADAPA,282049,RAYACHOTY,RAYACHOTY,28204991617,SRI RAVINDRA BHARATI UPS,Urban,Primary with Upper Primary,Pvt.Unaided,Co-education,1,7,English,None,None,None
4055,2820,KADAPA,282049,RAYACHOTY,RAYACHOTY,28204991618,VIDYA MANDIR UPS RTY,Rural,Primary with Upper Primary,Pvt.Unaided,Co-education,1,7,Telugu,None,None,None
4056,2820,KADAPA,282049,RAYACHOTY,RAYACHOTY,28204991623,AYESHA NISWAN MADARASA RTY,Urban,Primary with Upper Primary,Madarsa unrecognized,Co-education,1,8,Urdu,None,None,None
4057,2820,KADAPA,282049,RAYACHOTY,RAYACHOTY,28204991632,WISDOM HS MD PURA STREET,Urban,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,English,None,None,None
4058,2820,KADAPA,282049,RAYACHOTY,RAYACHOTY,28204991634,ANAS MADARASA,Urban,Primary,Madarsa unrecognized,Co-education,1,5,Urdu,None,None,None
4059,2820,KADAPA,282049,RAYACHOTY,RAYACHOTY,28204991636,MPPS AHAMED NAGAR URDU,Urban,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Urdu,None,None,None
4060,2820,KADAPA,282049,RAYACHOTY,RAYACHOTY,28204991638,SRI KAVYA PS SMB NAGAR,Urban,Primary,Pvt.Unaided,Co-education,1,5,English,None,None,None
4061,2820,KADAPA,282049,RAYACHOTY,RAYACHOTY,28204991639,SRIKANTH PRIMARY SCHOOL,Urban,Primary,Pvt.Unaided,Co-education,1,5,English,None,None,None
4062,2820,KADAPA,282049,RAYACHOTY,RAYACHOTY,28204991640,SRI CHAITANYA EM PS,Urban,Primary,Pvt.Unaided,Co-education,1,5,English,None,None,None
4063,2820,KADAPA,282049,RAYACHOTY,RAYACHOTY,28204991641,NARAYANA EM PS,Urban,Primary,Pvt.Unaided,Co-education,1,5,English,None,None,None
4064,2820,KADAPA,282049,RAYACHOTY,RAYACHOTY,28204991642,OXFORD J INTERNATIONAL UPSCHOOL,Urban,Primary with Upper Primary,Pvt.Unaided,Co-education,1,7,English,None,None,None
4065,2820,KADAPA,282049,RAYACHOTY,RAYACHOTY,28204991645,SRI KAVYA HS SMB NAGAR,Urban,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,English,None,None,None
4066,2820,KADAPA,282049,RAYACHOTY,RAYACHOTY,28204991647,SRI CHAITANYA EM HS,Urban,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,English,None,None,None
4067,2820,KADAPA,282049,RAYACHOTY,RAYACHOTY,28204991648,NARAYANA EM HS,Urban,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,English,None,None,None
4068,2820,KADAPA,282049,RAYACHOTY,RAYACHOTY,28204991661,RAINBOW PS,Urban,Primary,Pvt.Unaided,Co-education,1,5,English,None,None,None
4069,2820,KADAPA,282049,RAYACHOTY,RAYACHOTY,28204991662,IK PRIMARY SCHOOL,Urban,Primary,Pvt.Unaided,Co-education,1,5,English,None,None,None
4070,2820,KADAPA,282049,RAYACHOTY,RAYACHOTY,28204991664,NAVYATHA UPS,Rural,Primary with Upper Primary,Pvt.Unaided,Co-education,1,7,English,None,None,None
4071,2820,KADAPA,282049,RAYACHOTY,RAYACHOTY,28204991665,MADEENA PRIMARY SCHOOL,Urban,Primary,Pvt.Unaided,Co-education,1,5,English,None,None,None
4072,2820,KADAPA,282049,RAYACHOTY,RAYACHOTY,28204991666,IK HIGH SCHOOL,Urban,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,English,None,None,None
4073,2820,KADAPA,282049,RAYACHOTY,RAYACHOTY,28204991667,RAINBOW HS,Urban,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,English,None,None,None
4074,2820,KADAPA,282049,RAYACHOTY,RAYACHOTY,28204991668,VISWAM UPS,Urban,Primary with Upper Primary,Pvt.Unaided,Co-education,1,7,English,None,None,None
4075,2820,KADAPA,282049,RAYACHOTY,RAYACHOTY,28204991686,CHAMPIONS PRIMARY SCHOOL,Urban,Primary,Pvt.Unaided,Co-education,1,5,English,None,None,None
4076,2820,KADAPA,282049,RAYACHOTY,RAYACHOTY,28204991687,CHAMPIONS HIGH SCHOOL,Urban,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,English,None,None,None
4077,2820,KADAPA,282049,RAYACHOTY,RAYACHOTY,28204991688,NEW GLOBAL GEN UP SCHOOL,Urban,Primary with Upper Primary,Pvt.Unaided,Co-education,1,7,English,None,None,None
4078,2820,KADAPA,282049,RAYACHOTY,RAYACHOTY,28204991689,SRI SHIRIDI SAI UP SCHOOL,Urban,Primary with Upper Primary,Pvt.Unaided,Co-education,1,7,English,None,None,None
4079,2820,KADAPA,282049,RAYACHOTY,RAYACHOTY,28204991690,SUN RISE INTERNATIONAL UP SCHOOL,Urban,Primary with Upper Primary,Pvt.Unaided,Co-education,1,7,English,None,None,None
4080,2820,KADAPA,282049,RAYACHOTY,RAYACHOTY,28204991692,C N RAJU PRIMARY SCHOOL,Urban,Primary,Pvt.Unaided,Co-education,1,5,English,None,None,None
4081,2820,KADAPA,282049,RAYACHOTY,RAYACHOTY,28204991693,C N RAJU HIGH SCHOOL,Urban,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,English,None,None,None
4082,2820,KADAPA,282049,RAYACHOTY,RAYACHOTY,28204991694,KINGSTON UP SCHOOL,Urban,Primary with Upper Primary,Pvt.Unaided,Co-education,1,7,English,None,None,None
4083,2820,KADAPA,282049,RAYACHOTY,RAYACHOTY,28204991695,MADEENA HIGH SCHOOL,Urban,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,English,Urdu,None,None
4084,2820,KADAPA,282049,RAYACHOTY,RAYACHOTY,28204991698,INDIRA UP SCHOOL,Urban,Primary with Upper Primary,Pvt.Unaided,Co-education,1,7,English,None,None,None
4085,2820,KADAPA,282049,RAYACHOTY,RAYACHOTY,28204991699,AKSHARA UP SCHOOL,Urban,Primary with Upper Primary,Pvt.Unaided,Co-education,1,7,English,None,None,None
4086,2820,KADAPA,282050,GALIVEEDU,TALAMUDIPI,28205000101,MPPS TALA MUDIPI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4087,2820,KADAPA,282050,GALIVEEDU,TALAMUDIPI,28205000102,MPPS RAMIREDDIGARIPALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Urdu,None,None,None
4088,2820,KADAPA,282051,S.V.KASINAYAN,VANKAMARRI,28205100801,MPPS VADDAMANU,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4089,2820,KADAPA,282051,S.V.KASINAYAN,VANKAMARRI,28205100803,MPPS CHINNAYAPALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4090,2820,KADAPA,282051,S.V.KASINAYAN,VANKAMARRI,28205100804,MPUPS VANKAMARRI,Rural,Primary with Upper Primary,MPP_ZPP SCHOOLS,Co-education,1,8,Telugu,None,None,None
4091,2820,KADAPA,282051,S.V.KASINAYAN,VANKAMARRI,28205100806,VSR VANKAMARRI,Rural,Primary with Upper Primary,Unrecognised Schools,Co-education,1,8,English,None,None,None
4092,2820,KADAPA,282051,S.V.KASINAYAN,NARASAPURAM,28205102802,MPPS MIDDELA (HW),Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4093,2820,KADAPA,282051,S.V.KASINAYAN,NARASAPURAM,28205102803,MPPS NARASAPURAM T,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4094,2820,KADAPA,282007,B.MATTAM,SOMIREDDIPALLE,28200700617,DEEPTI HS K.M.PALLE,Rural,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,Telugu,English,None,None
4095,2820,KADAPA,282007,B.MATTAM,SOMIREDDIPALLE,28200700627,SRI VISWASHANTHI VIDYANIKETHAN HIGH SCHOOL,Rural,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,Telugu,English,None,None
4096,2820,KADAPA,282007,B.MATTAM,SOMIREDDIPALLE,28200700628,RAVINDRA PS K.M.PALLE,Rural,Primary,Pvt.Unaided,Co-education,1,5,English,Telugu,None,None
4097,2820,KADAPA,282007,B.MATTAM,SOMIREDDIPALLE,28200700629,RAVINDRA HS K.M.PALLE,Rural,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,English,Telugu,None,None
4098,2820,KADAPA,282007,B.MATTAM,BOODAVADA,28200701201,MPPS BUDAVADA,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4099,2820,KADAPA,282008,B.KODUR,MUNNELLI,28200800901,MPPS KRISHNA PURAM,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4100,2820,KADAPA,282008,B.KODUR,MUNNELLI,28200800902,MPPS MUNNELLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4101,2820,KADAPA,282008,B.KODUR,MUNNELLI,28200800903,MPPS AMMAVARIPETA,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4102,2820,KADAPA,282008,B.KODUR,MUNNELLI,28200800904,MPPS AYYAVARI PALLE,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4103,2820,KADAPA,282008,B.KODUR,MUNNELLI,28200800905,MPPS DONTELAPALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4104,2820,KADAPA,282008,B.KODUR,MUNNELLI,28200800907,MPPS REDDYVARI PALLE,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4105,2820,KADAPA,282008,B.KODUR,MUNNELLI,28200800908,MPPS M RAJUPALEM,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4106,2820,KADAPA,282008,B.KODUR,MUNNELLI,28200800910,MPPS THUVVA PALLE,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4107,2820,KADAPA,282008,B.KODUR,MUNNELLI,28200800913,MPPS AYYAVARIPALLE(HW),Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4108,2820,KADAPA,282008,B.KODUR,MUNNELLI,28200800914,MPPS RAJUPALEM(HW),Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4109,2820,KADAPA,282008,B.KODUR,MUNNELLI,28200800915,MPPS SIRIGIRIPALLE(HW),Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4110,2820,KADAPA,282008,B.KODUR,MUNNELLI,28200800916,MPPS VIJAYANAGAR COLONY,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4111,2820,KADAPA,282008,B.KODUR,MUNNELLI,28200800918,ZPHS GOVINDAYA PALLE,Rural,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Co-education,6,10,Telugu,None,None,None
4112,2820,KADAPA,282008,B.KODUR,MUNNELLI,28200800920,MPPS ADITYARAMPET,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4113,2820,KADAPA,282008,B.KODUR,MUNNELLI,28200800921,ZPHS ADITYARAMPET,Rural,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Co-education,6,10,Telugu,None,None,None
4114,2820,KADAPA,282010,PORUMAMILLA,MUSALREDDIPALLE,28201000601,MPPS MUSAL REDDY PALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4115,2820,KADAPA,282010,PORUMAMILLA,PORUMAMILLA,28201001201,MPPS PORUMAMILLA,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4116,2820,KADAPA,282010,PORUMAMILLA,PORUMAMILLA,28201001202,MPPS KAPU STREET,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4117,2820,KADAPA,282010,PORUMAMILLA,PORUMAMILLA,28201001203,MPPS BALIJAKOTA,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4118,2820,KADAPA,282010,PORUMAMILLA,PORUMAMILLA,28201001204,MPPS RAMAYAPALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4119,2820,KADAPA,282010,PORUMAMILLA,PORUMAMILLA,28201001205,MPPS TH WARD URDU,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Urdu,None,None,None
4120,2820,KADAPA,282010,PORUMAMILLA,PORUMAMILLA,28201001206,MPPS CHITHANANDA NAGAR,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4121,2820,KADAPA,282010,PORUMAMILLA,PORUMAMILLA,28201001207,MPPS MUSLIM KOTA STREET,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Urdu,None,None,None
4122,2820,KADAPA,282010,PORUMAMILLA,PORUMAMILLA,28201001208,O L F PS PORUMAMILLA,Rural,Primary,Pvt.Aided,Co-education,1,5,Telugu,None,None,None
4123,2820,KADAPA,282010,PORUMAMILLA,PORUMAMILLA,28201001209,VIJAY PS PORUMAMILLA,Rural,Primary,Pvt.Unaided,Co-education,1,5,English,None,None,None
4124,2820,KADAPA,282010,PORUMAMILLA,PORUMAMILLA,28201001210,SRI MAHARSHI PS T B ROAD,Rural,Primary,Pvt.Unaided,Co-education,1,5,Telugu,English,None,None
4125,2820,KADAPA,282010,PORUMAMILLA,PORUMAMILLA,28201001211,BHARATHI PS SV NAGAR,Rural,Primary,Pvt.Unaided,Co-education,1,5,Telugu,None,None,None
4126,2820,KADAPA,282010,PORUMAMILLA,PORUMAMILLA,28201001212,STAR PS BESTHA STREET,Rural,Primary,Pvt.Unaided,Co-education,1,5,English,None,None,None
4127,2820,KADAPA,282010,PORUMAMILLA,PORUMAMILLA,28201001213,K B S M PS PRML,Rural,Primary,Pvt.Unaided,Co-education,1,5,Telugu,None,None,None
4128,2820,KADAPA,282010,PORUMAMILLA,PORUMAMILLA,28201001218,AVR TECHNO SCHOOL,Rural,Primary,Pvt.Unaided,Co-education,1,5,English,None,None,None
4129,2820,KADAPA,282010,PORUMAMILLA,PORUMAMILLA,28201001219,ZPHS MUSLIM KOTA(U),Rural,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Co-education,6,10,Urdu,English,None,None
4130,2820,KADAPA,282010,PORUMAMILLA,PORUMAMILLA,28201001220,ZPHS PORUMAMILLA,Rural,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Co-education,6,10,Telugu,None,None,None
4131,2820,KADAPA,282010,PORUMAMILLA,PORUMAMILLA,28201001221,GOVT HS PORUMAMILLA,Rural,Upper Pr. and Secondary,State Govt.,Co-education,6,10,Telugu,None,None,None
4132,2820,KADAPA,282010,PORUMAMILLA,PORUMAMILLA,28201001223,VIJAYA HS PORUMAMILLA,Rural,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,English,None,None,None
4133,2820,KADAPA,282010,PORUMAMILLA,PORUMAMILLA,28201001224,STAR HS TH WARD,Rural,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,Telugu,English,None,None
4134,2820,KADAPA,282010,PORUMAMILLA,PORUMAMILLA,28201001226,BHARATHI HS PRML,Rural,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,Telugu,None,None,None
4135,2820,KADAPA,282010,PORUMAMILLA,PORUMAMILLA,28201001227,MAHARSHI HS PRML,Rural,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,Telugu,English,None,None
4136,2820,KADAPA,282051,S.V.KASINAYAN,NARASAPURAM,28205102804,MPUPS NARSAPURAM(URDU),Rural,Primary with Upper Primary,MPP_ZPP SCHOOLS,Co-education,1,7,Urdu,None,None,None
4137,2820,KADAPA,282051,S.V.KASINAYAN,NARASAPURAM,28205102807,ZPHS NARSAPURAM,Rural,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Co-education,6,10,Telugu,None,None,None
4138,2820,KADAPA,282051,S.V.KASINAYAN,NARASAPURAM,28205102813,AP MODEL SCHOOL NARASAPURAM,Rural,Up. Pr. Secondary and Higher Sec,AP MODEL SCHOOLS,Co-education,6,10,English,None,None,None
4139,2820,KADAPA,282051,S.V.KASINAYAN,NARASAPURAM,28205102814,SRI SAI VIGHNESWARA(EMTM),Rural,Primary with Upper Primary,Pvt.Unaided,Co-education,1,8,English,None,None,None
4140,2820,KADAPA,282051,S.V.KASINAYAN,MOOLAPALLE,28205103401,MPPS MOOLAPALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4141,2820,KADAPA,282010,PORUMAMILLA,PORUMAMILLA,28201001229,ST. ANTONYS PS PRM;,Rural,Primary,Pvt.Unaided,Co-education,1,5,English,None,None,None
4142,2820,KADAPA,282010,PORUMAMILLA,PORUMAMILLA,28201001230,SRI SAI RAM UPS PRML,Rural,Primary with Upper Primary,Pvt.Unaided,Co-education,1,8,English,None,None,None
4143,2820,KADAPA,282010,PORUMAMILLA,PORUMAMILLA,28201001231,ST. ANTONYS HS PRML,Rural,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,English,None,None,None
4144,2820,KADAPA,282010,PORUMAMILLA,PORUMAMILLA,28201001232,SRI VENGAMAMBA HS PRML,Rural,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,Telugu,English,None,None
4145,2820,KADAPA,282010,PORUMAMILLA,PORUMAMILLA,28201001233,SRI VENGAMAMBA PS PR,Rural,Primary,Pvt.Unaided,Co-education,1,5,Telugu,English,None,None
4146,2820,KADAPA,282010,PORUMAMILLA,PORUMAMILLA,28201001234,HOLY ROSARY HS PML,Rural,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,English,None,None,None
4147,2820,KADAPA,282010,PORUMAMILLA,PORUMAMILLA,28201001236,SRI VENKATESWARA UP.SCHOOL,Rural,Primary,Pvt.Unaided,Co-education,1,5,English,None,None,None
4148,2820,KADAPA,282010,PORUMAMILLA,PORUMAMILLA,28201001237,WISDOM PS PML,Rural,Primary,Pvt.Unaided,Co-education,1,5,English,None,None,None
4149,2820,KADAPA,282010,PORUMAMILLA,PORUMAMILLA,28201001238,HOLY ROSARY PRIMARY,Rural,Primary,Pvt.Unaided,Co-education,1,5,English,None,None,None
4150,2820,KADAPA,282010,PORUMAMILLA,PORUMAMILLA,28201001240,LITTLE ANGLES SCHOOL,Rural,Primary with Upper Primary,Pvt.Unaided,Co-education,1,5,English,None,None,None
4151,2820,KADAPA,282010,PORUMAMILLA,PORUMAMILLA,28201001241,MPPS GIRINAGAR UR,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Urdu,None,None,None
4152,2820,KADAPA,282010,PORUMAMILLA,PORUMAMILLA,28201001243,AVR TECHNO HIGH SCHOOL,Rural,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,English,None,None,None
4153,2820,KADAPA,282010,PORUMAMILLA,PORUMAMILLA,28201001244,SRI VENKATESWARA HIGH SCHOOLPORUMAMILLA,Rural,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,English,None,None,None
4154,2820,KADAPA,282010,PORUMAMILLA,PORUMAMILLA,28201001245,LITTLE ANGELS HIGH SCHOOL,Rural,Upper Pr. and Secondary,Pvt.Unaided,Co-education,6,10,English,None,None,None
4155,2820,KADAPA,282010,PORUMAMILLA,PERAMGARIPALLE,28201001501,MPPS PERAMMAGARI PALLE,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4156,2820,KADAPA,282010,PORUMAMILLA,CHALLAGIRIGELLA,28201002501,MPPS T SALLAGIRIGELLA,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4157,2820,KADAPA,282010,PORUMAMILLA,CHALLAGIRIGELLA,28201002502,MPPS T SALLAGIRIGELA SC,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4158,2820,KADAPA,282010,PORUMAMILLA,CHALLAGIRIGELLA,28201002504,MPPSMANGANAPALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4159,2820,KADAPA,282010,PORUMAMILLA,CHALLAGIRIGELLA,28201002505,MPUPS KRUSHANAMPALLI,Rural,Primary with Upper Primary,MPP_ZPP SCHOOLS,Co-education,1,7,Telugu,None,None,None
4160,2820,KADAPA,282011,BADVEL,RAJUPALEM,28201102201,MPPS APPARAJU PETA,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4161,2820,KADAPA,282011,BADVEL,RAJUPALEM,28201102203,MPUPS RAJUPALEM,Rural,Primary with Upper Primary,MPP_ZPP SCHOOLS,Co-education,1,8,Telugu,None,None,None
4162,2820,KADAPA,282013,KHAJIPET,BHUMAYAPALLE,28201300101,MPPS BHUMAYAPALLE,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4163,2820,KADAPA,282013,KHAJIPET,BHUMAYAPALLE,28201300102,MPPS MATHALURUPADU H.W,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4164,2820,KADAPA,282013,KHAJIPET,BHUMAYAPALLE,28201300105,MPPS B.THIPPAYAPALLE,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4165,2820,KADAPA,282013,KHAJIPET,BHUMAYAPALLE,28201300108,MPPS KRISHNAMPALLE,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4166,2820,KADAPA,282013,KHAJIPET,BHUMAYAPALLE,28201300110,MPPS B KOTHAPALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4167,2820,KADAPA,282013,KHAJIPET,BHUMAYAPALLE,28201300111,MPPS MUTHALURUPADU,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4168,2820,KADAPA,282013,KHAJIPET,RAVULAPALLE,28201301401,MPPS RAVULAPALLI HW,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4169,2820,KADAPA,282014,CHAPADU,CHIYYAPADU,28201400301,MPPS CHIYYAPADU,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4170,2820,KADAPA,282014,CHAPADU,CHIYYAPADU,28201400302,MPPS PEDDA CHIYYAPADU HW,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4171,2820,KADAPA,282014,CHAPADU,CHIYYAPADU,28201400303,MPPS BASIREDDIPALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4172,2820,KADAPA,282014,CHAPADU,CHIYYAPADU,28201400304,MPPS REPALLE,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4173,2820,KADAPA,282014,CHAPADU,CHIYYAPADU,28201400305,MPPS GUNTHACHIYYAPADU,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4174,2820,KADAPA,282014,CHAPADU,CHIYYAPADU,28201400306,MPPS GUNTHACHIYYAPADU HW,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4175,2820,KADAPA,282014,CHAPADU,CHIYYAPADU,28201400307,ZPHS CHIYYAPADU,Rural,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Co-education,6,10,Telugu,English,None,None
4176,2820,KADAPA,282014,CHAPADU,NERRAWADA,28201400801,MPPS NERRAWADA,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4177,2820,KADAPA,282014,CHAPADU,ANANTHAPURAM,28201401702,MPPS ANANTHAPURAM (EAST),Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4178,2820,KADAPA,282014,CHAPADU,ANANTHAPURAM,28201401703,MPPS ANANTHAPURAM (SPL),Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
4179,2820,KADAPA,282014,CHAPADU,ANANTHAPURAM,28201401704,MPPS THIPPIREDDIPALLI,Rural,Primary,MPP_ZPP SCHOOLS,Co-education,1,5,Telugu,None,None,None
