SI No,District code,District name,Mandal code,Mandal Name,Village Name,School Id,School Name,Area,School Category,School Managments,School Type,Lower Class,Higer Class,Medium1,Medium2,Medium3,Medium4
74,2820,KADAPA,282044,OBULAVARIPALLI,MUKKAVARIPALLE,28204400914,KGBV OBVPALLE,Rural,Upper Pr. and Secondary,KGBVs(SSA),Girls,6,10,English,None,None,None
75,2820,KADAPA,282004,RAJUPALEM,RAJUPALEM,28200401207,APSWRS HS VELLALA,Rural,Pr. Up Pr. and Secondary Only,APSWREI Society Schools,Girls,5,10,English,None,None,None
76,2820,KADAPA,282015,PRODDUTUR,PRODDATUR-2,28201591301,GOVT HS RAJABATA (Girls),Urban,Upper Pr. and Secondary,State Govt.,Girls,6,10,Telugu,English,None,None
77,2820,KADAPA,282015,PRODDUTUR,PRODDATUR-2,28201591305,Y V S MPL HS HOLMESPET(G),Urban,Upper Pr. and Secondary,MUNCIPAL,Girls,6,10,English,Telugu,None,None
78,2820,KADAPA,282015,PRODDUTUR,PRODDATUR-2,28201591351,KHADIJATUL KURALIL BANAT MADARASA,Urban,Primary with Upper Primary,Madarsa unrecognized,Girls,1,8,Urdu,None,None,None
79,2820,KADAPA,282031,CUDDAPAH,CHINNACHOWK,28203190343,ZPHS JN COLONY(GIRLS),Urban,Upper Pr. and Secondary,MPP_ZPP SCHOOLS,Girls,6,10,Telugu,English,None,None
80,2820,KADAPA,282031,CUDDAPAH,CHINNACHOWK,28203190346,APSWRS GIRLS CHINNA CHOWK,Urban,Pr. with Up.Pr. sec. and H.Sec.,APSWREI Society Schools,Girls,5,11,English,None,None,None
81,2820,KADAPA,282031,CUDDAPAH,MARIA PURAM,28203191635,MADARASA-E-UMMA HATHUL MAMINIA,Urban,Primary,Madarsa unrecognized,Girls,1,5,Urdu,None,None,None
82,2820,KADAPA,282031,CUDDAPAH,MARIA PURAM,28203191636,MADARASA-E-ANWAR THOUHEED,Urban,Primary with Upper Primary,Madarsa unrecognized,Girls,1,8,Urdu,None,None,None
83,2820,KADAPA,282031,CUDDAPAH,MARIA PURAM,28203191645,JAMATHUL AMAN WASSALAM (NISWAN),Urban,Primary,Pvt.Unaided,Girls,1,5,Urdu,None,None,None
84,2820,KADAPA,282031,CUDDAPAH,CUDDAPAH (M)-4,28203192214,APTWR GIRLS SCHOOL,Urban,Pr. Up Pr. and Secondary Only,APTWREI Society Schools,Girls,1,10,English,None,None,None
85,2820,KADAPA,282033,PENDLIMARRY,PENDLIMARRI,28203301811,KGBV SCHOOL PENDLIMARRI,Rural,Upper Pr. and Secondary,KGBVs(SSA),Girls,6,10,English,None,None,None
